"id","sender","subject","body","label","received_at"
"FE-0041","riley.smith555@mail.com","Search accuracy and partial matches","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2025-07-08 19:20:00"
"OT-0039","cameron.clark763@corp.io","Request for media kit and brand assets","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2023-03-18 03:15:00"
"TE-0040","drew.davis371@company.co","API 503 when exporting reports","Our users are unable to log in on Windows 11 using Edge 122; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2025-03-01 21:30 without any configuration changes on our end. We have tracked the incident internally as TKT-9394 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2023-02-11 05:39:00"
"OT-0052","sam.garcia236@company.co","How to change email preferences","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2023-06-22 02:10:00"
"TE-0017","riley.walker731@mail.com","Upload stuck at 99 percent on Firefox 126","Our users are unable to log in on macOS 14 using Firefox 126; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2025-01-07 07:32 without any configuration changes on our end. We have tracked the incident internally as TKT-3965 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2024-11-11 09:50:00"
"TE-0026","cameron.patel955@mail.com","Upload stuck at 99 percent on Chrome 125","Our users are unable to log in on Ubuntu 22.04 using Chrome 124; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2024-08-04 22:58 without any configuration changes on our end. We have tracked the incident internally as TKT-6623 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2025-06-04 18:59:00"
"BI-0045","riley.patel774@example.com","Billing cycle and proration issue","I am writing regarding invoice INV-37608 which lists a charge of $351.43 dated 2024-05-21 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2025-05-08 02:51:00"
"BI-0049","cameron.miller449@business.dev","Request to correct VAT on invoice INV-70067","I am writing regarding invoice INV-21047 which lists a charge of $375.46 dated 2023-01-25 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2024-02-10 18:24:00"
"FE-0012","quinn.davis253@business.dev","Search accuracy and partial matches","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2023-04-18 14:08:00"
"BI-0053","jordan.kim421@company.co","Invoice shows unexpected charge INV-59542","I am writing regarding invoice INV-57454 which lists a charge of $732.01 dated 2025-04-01 that does not match our subscribed plan. A promotion code was applied at checkout but the discount was not reflected on the final amount. Please reissue the invoice with our legal entity name and tax ID and confirm if a refund is needed for any duplicate charges. If you require payment gateway logs or screenshots, I can provide them immediately.","Billing Issue","2024-03-06 04:15:00"
"TE-0047","chris.brown889@corp.io","Push notifications not arriving on Windows 11","Our users are unable to log in on macOS 14 using Safari 17.5; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2023-10-11 06:18 without any configuration changes on our end. We have tracked the incident internally as TKT-5135 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2025-06-04 07:51:00"
"OT-0028","alex.clark408@corp.io","How to change email preferences","We are exploring partnership and reseller options and would like details on tiers, referral process, and minimum requirements. Please share a link to your latest SLA and uptime metrics and clarify data deletion timelines and ownership transfer procedures. We are also interested in non-profit discounts and would appreciate guidance on eligibility and verification steps. If there are upcoming community events or webinars for partners, kindly include registration instructions.","Other","2023-01-27 03:58:00"
"FE-0015","sam.lewis427@company.co","Thanks for the quick response from support","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2025-07-06 15:13:00"
"TE-0003","avery.wilson968@company.co","Slack integration auth error","Our users are unable to log in on Windows 11 using Chrome 125; the screen freezes or remains blank after submitting credentials. Exporting to CSV intermittently returns an API 503, and this behavior started around 2023-05-15 21:40 without any configuration changes on our end. We have tracked the incident internally as TKT-2546 and can share HAR files and console logs upon request. Single sign-on with Azure AD occasionally loops back to the login screen which suggests a session or redirect issue.","Technical Support","2024-12-26 05:11:00"
"FE-0051","taylor.miller150@example.com","Feature request: bulk actions for records","The latest release is a clear improvement; the dashboard loads faster and the navigation is far more intuitive for first-time users. Dark mode is helpful though some secondary text could use higher contrast to aid readability in low-light conditions. Keyboard shortcuts for frequent actions and better partial-match search would make power users more productive. Overall onboarding was smoother thanks to the checklist and clearer documentation with actionable examples.","Feedback","2024-08-19 03:17:00"
